Data di collaudo	Ora di collaudo	Esito di collaudo	Pezzo ripassato	Tensione alimentazione	Resistenza riscaldatore	Temperatura Operativa	Percentuale di Ossigeno	Corrente riscaldatore a regime	Resistenza calibrazione	Resistenza isolamento layer interni
29/10/2018	10:32:31	2	FALSO	13,494	2,98	780,4	11,178	1121	258,8	4,1
29/10/2018	10:44:01	2	FALSO	13,495	2,98	780,7	11,211	1111	254,6	4,1
22/11/2018	11:08:21	4	FALSO	13,498	3,40	0,0	0,000	0	0,0	0,0
22/11/2018	11:08:56	2	FALSO	13,498	2,98	780,3	11,427	1036	230,4	2,7
08/01/2019	15:50:34	2	FALSO	13,495	3,00	780,1	11,356	1136	237,5	3,3
08/01/2019	16:44:50	2	FALSO	13,496	2,99	780,7	11,710	1040	244,2	4,6
09/01/2019	13:46:32	8	FALSO	13,497	2,98	780,2	11,881	1050	226,5	3,6
09/01/2019	13:48:31	2	FALSO	13,497	3,07	780,3	11,730	1047	242,0	5,4
10/01/2019	08:56:12	6	FALSO	13,500	3,00	779,8	11,960	1066	219,2	3,8
10/01/2019	08:58:01	4	FALSO	13,499	0,00	0,0	0,000	0	0,0	0,0
10/01/2019	08:58:20	2	FALSO	13,499	3,07	780,8	11,786	1028	236,0	5,6
