Data di collaudo	Ora di collaudo	Esito di collaudo	Pezzo ripassato	Tensione alimentazione	Resistenza riscaldatore	Temperatura Operativa	Percentuale di Ossigeno	Corrente riscaldatore a regime	Resistenza calibrazione	Resistenza isolamento layer interni
14/01/2019	15:46:12	2	FALSO	13,490	2,98	780,6	11,727	1036	172,7	5,0
15/01/2019	07:56:38	2	FALSO	13,501	3,00	780,1	11,980	1044	158,7	4,0
17/01/2019	08:18:50	2	FALSO	13,501	3,00	780,0	11,974	1051	159,0	3,8
18/02/2019	10:56:49	8	FALSO	13,496	2,98	779,6	11,903	1057	73,3	3,4
18/02/2019	11:16:29	2	FALSO	13,496	2,98	780,1	11,723	1032	76,0	4,7
05/03/2019	11:05:50	2	FALSO	13,498	3,00	780,3	11,869	1042	73,8	3,7
07/03/2019	09:24:56	6	FALSO	13,495	3,00	780,2	8,498	992	216,3	1,9
07/03/2019	09:26:54	6	FALSO	13,495	3,05	780,2	9,135	903	159,1	2,7
07/03/2019	09:28:47	6	FALSO	13,496	3,10	780,8	8,042	942	290,6	2,3
07/03/2019	09:31:31	2	FALSO	13,495	3,04	779,8	11,687	1043	76,6	4,0
07/03/2019	09:37:11	2	FALSO	13,495	3,02	780,9	11,684	1020	76,6	5,0
08/03/2019	08:32:03	2	FALSO	13,500	3,00	779,9	11,909	1046	73,2	3,8
11/03/2019	08:00:16	2	FALSO	13,463	2,99	780,0	11,821	1140	74,5	3,1
15/03/2019	08:17:22	2	FALSO	13,499	2,99	780,0	11,892	1054	73,4	4,0
18/03/2019	10:16:33	3	FALSO	13,429	0,00	0,0	0,000	0	0,0	0,0
18/03/2019	10:16:56	2	FALSO	13,495	2,98	780,0	11,942	1047	72,7	3,9
19/04/2019	17:06:43	2	FALSO	13,499	3,01	780,4	11,802	1156	74,8	2,9
31/05/2019	14:35:49	2	FALSO	13,499	3,03	780,0	12,028	1145	71,5	2,7
11/06/2019	09:53:16	2	FALSO	13,498	3,02	780,0	11,750	1160	75,6	2,6
12/06/2019	07:58:53	2	FALSO	13,495	3,00	780,0	11,769	1160	75,3	2,7
21/06/2019	08:00:20	2	FALSO	13,499	3,02	780,0	11,746	1147	75,6	2,7
24/06/2019	09:00:24	2	FALSO	13,497	3,05	780,2	11,731	1144	75,9	2,8
02/07/2019	07:11:26	2	FALSO	13,497	3,05	780,0	11,712	1151	76,2	2,8
03/07/2019	09:02:15	2	FALSO	13,499	3,04	779,9	11,754	1148	75,5	2,9
04/07/2019	07:28:58	2	FALSO	13,495	3,06	780,1	11,747	1167	75,6	2,7
04/07/2019	08:11:09	8	FALSO	13,494	3,28	780,4	10,555	1182	99,7	0,8
04/07/2019	08:13:05	9	FALSO	13,491	3,25	780,3	11,452	1140	80,4	0,9
